dr,latitude,longitude,route_code,route_id,route_no,stop_code,stop_id,stop_name,street_name,zone
2,3.146744,101.698695,U1510,1110,151,KL113,1002080,KL113 HAB LEBUH PUDU,JLN TUN PERAK,4
2,3.148202,101.696375,U1510,1110,151,KL1939,1004240,KL1939 MEDAN PASAR,JLN LEBUH AMPANG,4
2,3.1492454039518,101.69737177094,U1510,1110,151,KL117,1000383,KL117 BSN LEBUH AMPANG,JLN LEBUH AMPANG,4
2,3.1519126007803,101.69799809706,U1510,1110,151,KL30,1003683,KL30 AMANAHRAYA,JLN AMPANG,4
2,3.1532582998069,101.69848425418,U1510,1110,151,KL31,1000823,KL31 HENTIAN MUNSHI ABDULLAH,JLN MUNSHI ABDULLAH,4
2,3.1546522393082,101.69837470998,U1510,1110,151,KL32,1002560,KL32 CAPSQUARE,JLN MUNSHI ABDULLAH,4
2,3.1567788096169,101.69535839244,U1510,1110,151,KL1940,1003415,KL1940 SOGO KL,JLN DANG WANGI,4
2,3.157724,101.694556,U1510,1110,151,KL40,1001984,KL40 MEDAN MARA,JLN RAJA LAUT,4
2,3.162154,101.695526,U1510,1110,151,KL41,1003257,KL41 LRT SULTAN ISMAIL/WISMA SIME DARBY,JLN RAJA LAUT,4
2,3.165085,101.696133,U1510,1110,151,KL42,1002694,KL42 EDC HOTEL,JLN RAJA LAUT,4
2,3.167208,101.696275,U1510,1110,151,KL46,1001418,KL46 CHOWKIT/KFC (BARAT),JLN RAJA LAUT,4
2,3.169272,101.695689,U1510,1110,151,KL47,1002537,KL47 DAMAI HOSPITAL (OPP),JLN SULTAN AZLAN SHAH,3
2,3.171001,101.693422,U1510,1110,151,KL49,1002413,KL49 PERKIM/PUSRAWI,JLN SULTAN AZLAN SHAH,3
2,3.174173,101.690357,U1510,1110,151,KL578,1002022,KL578 TAMAN GOLDEN,JLN SULTAN AZLAN SHAH,3
2,3.176318,101.688001,U1510,1110,151,KL579,1001710,KL579 SK SRI DHANDAYUTHAPANI,JLN SULTAN AZLAN SHAH,3
